event_id,event_type,event_time,ingest_time,advertiser_id,campaign_id,placement,device,geo,spend,currency
evt_14e4f516,impression,2026-06-01T08:58:13Z,2026-06-01T18:28:16Z,adv_1576,cmp_1576_3,interstitial,desktop,GB,0.0038,USD
evt_15e4f6a9,click,2026-06-01T22:01:12Z,2026-06-01T16:27:13Z,adv_1625,cmp_1625_3,preroll,mobile,GB,0.6486,INR
evt_1ee504d4,impression,2026-06-01T19:34:38Z,2026-06-01T04:04:36Z,adv_1576,cmp_1576_3,banner_728x90,desktop,SG,0.0046,USD
evt_1fe50667,impression,2026-06-01T18:28:20Z,2026-06-01T21:53:06Z,adv_1562,cmp_1562_3,preroll,ctv,unknown,0.0040,USD
evt_1ce74045,click,2026-06-01T10:31:07Z,2026-06-01T07:25:52Z,adv_1604,cmp_1604_3,interstitial,tablet,,0.0973,USD
evt_1be73eb2,impression,2026-06-01T09:22:53Z,2026-06-01T05:29:15Z,adv_1576,cmp_1576_3,preroll,ctv,AU,0.0132,USD
evt_1ae73d1f,impression,2026-06-01T17:07:28Z,2026-06-01T04:55:01Z,adv_1562,cmp_1562_2,banner_300x250,tablet,,0.0041,INR
evt_19e73b8c,impression,2026-06-01T08:55:19Z,2026-06-01T22:45:26Z,adv_1583,cmp_1583_2,native_feed,desktop,DE,0.0117,USD
evt_18e739f9,impression,2026-06-01T03:19:56Z,2026-06-01T05:05:37Z,adv_1548,cmp_1548_1,preroll,ctv,US,0.0156,USD
evt_17e73866,impression,2026-06-01T07:00:31Z,2026-06-01T17:04:44Z,adv_1555,cmp_1555_1,banner_300x250,desktop,GB,0.0008,USD
evt_16e736d3,impression,2026-06-01T09:45:22Z,2026-06-01T08:51:59Z,adv_1576,cmp_1576_3,banner_300x250,tablet,SG,0.0069,USD
evt_15e73540,impression,2026-06-01T11:47:14Z,2026-06-01T12:29:26Z,adv_1562,cmp_1562_1,banner_728x90,tablet,DE,0.0067,USD
evt_24e74cdd,impression,2026-06-01T03:28:32Z,2026-06-01T14:32:30Z,adv_1618,cmp_1618_3,native_feed,ctv,,0.0059,USD
evt_23e74b4a,impression,2026-06-01T17:13:24Z,2026-06-01T07:41:22Z,adv_1597,cmp_1597_3,preroll,mobile,,0.0125,USD
evt_aadfd10a,impression,2026-06-01T09:11:49Z,2026-06-01T22:47:58Z,adv_1611,cmp_1611_3,interstitial,desktop,CA,0.0104,USD
evt_abdfd29d,impression,2026-06-01T13:21:50Z,2026-06-01T14:46:35Z,adv_1569,cmp_1569_2,interstitial,ctv,AU,0.0134,USD
evt_a8dfcde4,impression,2026-06-01T23:47:45Z,2026-06-01T13:20:36Z,adv_1583,cmp_1583_3,banner_300x250,mobile,DE,0.0104,USD
evt_a9dfcf77,impression,2026-06-01T14:36:52Z,2026-06-01T19:12:36Z,adv_1562,cmp_1562_3,banner_300x250,mobile,CA,0.0155,USD
evt_a6dfcabe,impression,2026-06-01T04:16:35Z,2026-06-01T18:19:26Z,adv_1576,cmp_1576_1,banner_728x90,tablet,unknown,0.0163,USD
evt_a7dfcc51,click,2026-06-01T02:45:40Z,2026-06-01T10:42:38Z,adv_1569,cmp_1569_1,preroll,ctv,CA,0.6978,USD
evt_a4dfc798,impression,2026-06-01T15:54:39Z,2026-06-01T00:16:22Z,adv_1583,cmp_1583_1,interstitial,ctv,,0.0074,USD
evt_a5dfc92b,impression,2026-06-01T08:14:47Z,2026-06-01T14:44:12Z,adv_1562,cmp_1562_2,interstitial,ctv,,0.0122,USD
evt_a2dfc472,impression,2026-06-01T01:32:55Z,2026-06-01T18:12:51Z,adv_1583,cmp_1583_3,preroll,mobile,AU,0.0066,USD
evt_a3dfc605,impression,2026-06-01T07:52:48Z,2026-06-01T19:32:01Z,adv_1569,cmp_1569_1,preroll,tablet,,0.0031,USD
evt_10e2b033,impression,2026-06-01T10:17:02Z,2026-06-01T19:59:41Z,adv_1618,cmp_1618_1,interstitial,ctv,AU,0.0065,USD
evt_fe2aea0,impression,2026-06-01T05:42:58Z,2026-06-01T05:34:53Z,adv_1590,cmp_1590_3,banner_300x250,ctv,GB,0.0159,USD
evt_12e2b359,impression,2026-06-01T17:03:26Z,2026-06-01T06:53:18Z,adv_1611,cmp_1611_1,banner_728x90,ctv,AU,0.0102,USD
evt_11e2b1c6,impression,2026-06-01T13:44:49Z,2026-06-01T22:53:41Z,adv_1548,cmp_1548_1,banner_728x90,mobile,US,0.0048,USD
evt_14e2b67f,impression,2026-06-01T05:05:20Z,2026-06-01T20:15:45Z,adv_1590,cmp_1590_3,interstitial,mobile,DE,0.0052,USD
evt_13e2b4ec,impression,2026-06-01T21:49:07Z,2026-06-01T11:41:51Z,adv_1611,cmp_1611_3,preroll,desktop,,0.0146,USD
evt_16e2b9a5,impression,2026-06-01T14:28:36Z,2026-06-01T02:25:14Z,adv_1562,cmp_1562_2,interstitial,tablet,,0.0043,INR
evt_15e2b812,conversion,2026-06-01T01:29:04Z,2026-06-01T21:43:00Z,adv_1548,cmp_1548_3,banner_300x250,tablet,GB,0.0000,USD
evt_18e2bccb,impression,2026-06-01T17:14:46Z,2026-06-01T21:52:32Z,adv_1569,cmp_1569_3,interstitial,tablet,DE,0.0133,USD
evt_17e2bb38,impression,2026-06-01T11:29:39Z,2026-06-01T11:17:29Z,adv_1569,cmp_1569_2,native_feed,tablet,SG,0.0040,USD
evt_9edb40f8,click,2026-06-01T10:12:45Z,2026-06-01T18:42:43Z,adv_1583,cmp_1583_3,banner_728x90,tablet,IN,0.1222,USD
evt_9fdb428b,impression,2026-06-01T09:05:10Z,2026-06-01T13:41:35Z,adv_1569,cmp_1569_1,banner_300x250,tablet,unknown,0.0143,USD
evt_a0db441e,impression,2026-06-01T12:01:39Z,2026-06-01T12:07:49Z,adv_1604,cmp_1604_2,banner_728x90,desktop,GB,0.0081,USD
evt_a1db45b1,click,2026-06-01T06:41:44Z,2026-06-01T23:35:08Z,adv_1611,cmp_1611_3,native_feed,desktop,IN,0.2047,USD
evt_a2db4744,impression,2026-06-01T09:37:31Z,2026-06-01T11:56:08Z,adv_1618,cmp_1618_2,interstitial,mobile,IN,0.0135,INR
evt_a3db48d7,click,2026-06-01T03:46:51Z,2026-06-01T00:44:29Z,adv_1569,cmp_1569_3,preroll,tablet,IN,0.0046,USD
evt_a4db4a6a,impression,2026-06-01T21:16:57Z,2026-06-01T23:23:12Z,adv_1569,cmp_1569_3,preroll,ctv,,0.0144,USD
evt_a5db4bfd,impression,2026-06-01T02:17:49Z,2026-06-01T05:45:03Z,adv_1576,cmp_1576_3,preroll,ctv,CA,0.0170,USD
evt_96db3460,click,2026-06-01T02:45:31Z,2026-06-01T14:36:18Z,adv_1583,cmp_1583_2,interstitial,desktop,CA,0.7013,USD
evt_97db35f3,impression,2026-06-01T12:08:50Z,2026-06-01T04:56:17Z,adv_1555,cmp_1555_3,preroll,mobile,US,0.0159,INR
evt_a4dd8901,impression,2026-06-01T13:19:10Z,2026-06-01T03:52:50Z,adv_1548,cmp_1548_2,interstitial,ctv,AU,0.0054,USD
evt_a3dd876e,click,2026-06-01T19:52:02Z,2026-06-01T22:23:09Z,adv_1618,cmp_1618_2,banner_300x250,tablet,US,0.4038,USD
evt_a2dd85db,impression,2026-06-01T02:36:55Z,2026-06-01T23:28:42Z,adv_1590,cmp_1590_1,native_feed,ctv,SG,0.0108,USD
evt_a1dd8448,click,2026-06-01T00:18:34Z,2026-06-02T03:09:36Z,adv_1569,cmp_1569_2,native_feed,desktop,CA,0.1876,USD
evt_a8dd8f4d,impression,2026-06-01T13:25:15Z,2026-06-01T02:46:05Z,adv_1562,cmp_1562_3,native_feed,tablet,GB,0.0126,USD
evt_a7dd8dba,impression,2026-06-01T07:49:21Z,2026-06-01T08:41:41Z,adv_1576,cmp_1576_3,banner_728x90,ctv,AU,0.0081,USD
evt_a6dd8c27,click,2026-06-01T08:34:37Z,2026-06-01T19:33:45Z,adv_1618,cmp_1618_3,preroll,tablet,IN,0.5808,USD
evt_a5dd8a94,impression,2026-06-01T15:15:17Z,2026-06-02T00:23:09Z,adv_1576,cmp_1576_3,preroll,ctv,US,0.0037,USD
evt_9cdd7c69,impression,2026-06-01T06:43:24Z,2026-06-03T13:08:13Z,adv_1576,cmp_1576_2,native_feed,tablet,,0.0109,USD
evt_9bdd7ad6,impression,2026-06-01T04:03:02Z,2026-06-01T16:34:29Z,adv_1583,cmp_1583_3,banner_728x90,desktop,GB,0.0172,USD
evt_12d5e766,conversion,2026-06-01T23:05:00Z,2026-06-01T11:01:09Z,adv_1576,cmp_1576_1,preroll,mobile,,0.0000,USD
evt_13d5e8f9,impression,2026-06-01T16:21:24Z,2026-06-01T07:30:45Z,adv_1562,cmp_1562_3,banner_300x250,ctv,,0.0061,USD
evt_10d5e440,impression,2026-06-01T06:26:30Z,2026-06-01T20:55:11Z,adv_1590,cmp_1590_1,banner_728x90,desktop,unknown,0.0168,USD
evt_11d5e5d3,impression,2026-06-01T17:32:06Z,2026-06-01T23:20:30Z,adv_1583,cmp_1583_3,preroll,tablet,,0.0061,USD
evt_16d5edb2,impression,2026-06-01T20:12:52Z,2026-06-01T22:24:57Z,adv_1590,cmp_1590_3,interstitial,ctv,,0.0064,USD
evt_17d5ef45,impression,2026-06-01T11:23:05Z,2026-06-01T22:02:52Z,adv_1618,cmp_1618_1,native_feed,mobile,US,0.0142,USD
evt_14d5ea8c,conversion,2026-06-01T22:17:42Z,2026-06-01T03:20:38Z,adv_1625,cmp_1625_2,banner_300x250,desktop,CA,0.0000,USD
evt_15d5ec1f,impression,2026-06-01T03:41:15Z,2026-06-01T04:01:09Z,adv_918,cmp_918_x,native_feed,tablet,US,0.0033,INR
evt_1ad5f3fe,impression,2026-06-01T19:10:53Z,2026-06-01T02:03:32Z,adv_1569,cmp_1569_2,native_feed,tablet,CA,0.0130,INR
evt_1bd5f591,click,2026-06-01T10:33:50Z,2026-06-01T22:58:57Z,adv_1555,cmp_1555_2,banner_728x90,desktop,IN,0.8000,USD
evt_98d8f8ef,impression,2026-06-01T21:36:55Z,2026-06-02T02:10:23Z,adv_1562,cmp_1562_2,interstitial,mobile,unknown,0.0095,USD
evt_97d8f75c,impression,2026-06-01T13:48:49Z,2026-06-01T02:20:54Z,adv_1611,cmp_1611_2,banner_300x250,tablet,US,0.0052,USD
evt_9ad8fc15,click,2026-06-01T22:50:55Z,2026-06-01T23:33:12Z,adv_1555,cmp_1555_2,banner_728x90,ctv,,0.2279,INR
evt_99d8fa82,impression,2026-06-01T16:54:51Z,2026-06-01T00:04:36Z,adv_1597,cmp_1597_2,banner_728x90,desktop,GB,0.0158,USD
evt_94d8f2a3,impression,2026-06-01T17:43:04Z,2026-06-01T02:08:50Z,adv_1562,cmp_1562_2,interstitial,ctv,SG,0.0022,USD
evt_93d8f110,impression,2026-06-01T18:55:50Z,2026-06-01T21:53:18Z,adv_1548,cmp_1548_3,interstitial,ctv,US,0.0157,USD
evt_96d8f5c9,impression,2026-06-01T20:47:40Z,2026-06-01T08:59:44Z,adv_1576,cmp_1576_1,native_feed,ctv,US,0.0198,USD
evt_95d8f436,impression,2026-06-01T15:35:02Z,2026-06-01T14:48:19Z,adv_1604,cmp_1604_2,preroll,mobile,,0.0152,USD
evt_a0d90587,impression,2026-06-01T14:38:36Z,2026-06-01T09:17:13Z,adv_1611,cmp_1611_2,preroll,mobile,DE,0.0089,USD
evt_9fd903f4,impression,2026-06-01T12:08:36Z,2026-06-01T11:18:15Z,adv_1583,cmp_1583_3,preroll,mobile,CA,0.0191,USD
evt_d37646a5,impression,2026-06-01T22:29:33Z,2026-06-01T18:45:10Z,adv_1576,cmp_1576_2,native_feed,ctv,,0.0131,USD
evt_d2764512,impression,2026-06-01T05:59:38Z,2026-06-01T23:43:06Z,adv_1618,cmp_1618_3,banner_300x250,desktop,GB,0.0191,USD
evt_d176437f,impression,2026-06-01T02:30:50Z,2026-06-01T18:42:28Z,adv_1604,cmp_1604_2,interstitial,mobile,IN,0.0108,USD
evt_d07641ec,impression,2026-06-01T15:40:46Z,2026-06-01T18:05:44Z,adv_1576,cmp_1576_1,preroll,mobile,AU,0.0124,USD
evt_cf764059,impression,2026-06-01T15:04:53Z,2026-06-01T07:20:26Z,adv_1611,cmp_1611_3,banner_300x250,mobile,DE,0.0098,USD
evt_ce763ec6,impression,2026-06-01T16:14:03Z,2026-06-01T02:19:32Z,adv_1555,cmp_1555_1,native_feed,desktop,,0.0118,USD
evt_cd763d33,impression,2026-06-01T19:13:02Z,2026-06-01T10:59:45Z,adv_1583,cmp_1583_1,banner_300x250,ctv,SG,0.0144,USD
evt_cc763ba0,impression,2026-06-01T05:25:31Z,2026-06-01T05:26:50Z,adv_1625,cmp_1625_3,banner_300x250,ctv,DE,0.0102,USD
evt_db76533d,impression,2026-06-01T23:41:57Z,2026-06-03T23:13:01Z,adv_1604,cmp_1604_1,banner_728x90,tablet,US,0.0094,USD
evt_da7651aa,impression,2026-06-01T15:25:04Z,2026-06-01T02:45:04Z,adv_1625,cmp_1625_3,banner_728x90,mobile,DE,0.0072,USD
evt_cd73fe9c,impression,2026-06-01T11:37:52Z,2026-06-01T01:14:46Z,adv_1583,cmp_1583_1,native_feed,mobile,GB,0.0057,USD
evt_cd73fe9c,impression,2026-06-01T11:37:52Z,2026-06-01T01:14:46Z,adv_1583,cmp_1583_1,native_feed,mobile,GB,0.0057,USD
evt_ce74002f,impression,2026-06-01T22:01:06Z,2026-06-01T02:41:52Z,adv_1597,cmp_1597_1,interstitial,mobile,unknown,0.0178,USD
evt_cf7401c2,impression,2026-06-01T02:18:37Z,2026-06-01T21:59:53Z,adv_1618,cmp_1618_3,banner_728x90,tablet,GB,0.0132,USD
evt_d0740355,impression,2026-06-01T09:44:25Z,2026-06-01T14:48:10Z,adv_1576,cmp_1576_3,interstitial,mobile,AU,0.0047,USD
evt_c973f850,impression,2026-06-01T22:04:23Z,2026-06-01T17:34:42Z,adv_1604,cmp_1604_2,native_feed,desktop,IN,0.0114,USD
evt_ca73f9e3,impression,2026-06-01T02:05:52Z,2026-06-01T17:30:49Z,adv_1569,cmp_1569_2,banner_300x250,ctv,US,0.0008,USD
evt_cb73fb76,impression,2026-06-01T11:33:44Z,2026-06-01T19:29:40Z,adv_1618,cmp_1618_1,native_feed,tablet,IN,0.0020,USD
evt_cc73fd09,impression,2026-06-01T06:54:41Z,2026-06-01T07:31:34Z,adv_1604,cmp_1604_1,banner_300x250,desktop,CA,0.0097,INR
evt_d5740b34,impression,2026-06-01T00:53:13Z,2026-06-01T01:40:53Z,adv_918,cmp_918_x,preroll,ctv,US,0.0108,USD
evt_d6740cc7,impression,2026-06-01T18:11:58Z,2026-06-01T01:48:37Z,adv_1548,cmp_1548_2,preroll,ctv,,0.0118,USD
evt_df7ad6b7,impression,2026-06-01T13:49:29Z,2026-06-01T01:44:27Z,adv_1604,cmp_1604_2,preroll,mobile,DE,0.0196,USD
evt_de7ad524,impression,2026-06-01T11:07:18Z,2026-06-01T00:57:24Z,adv_1611,cmp_1611_2,interstitial,desktop,SG,0.0122,USD
evt_e17ad9dd,impression,2026-06-01T11:51:28Z,2026-06-01T02:52:49Z,adv_1604,cmp_1604_1,preroll,ctv,IN,0.0094,USD
evt_e07ad84a,click,2026-06-01T23:02:41Z,2026-06-01T05:20:58Z,adv_1583,cmp_1583_1,native_feed,desktop,CA,0.0729,USD
evt_e07ad84a,click,2026-06-01T23:02:41Z,2026-06-01T05:20:58Z,adv_1583,cmp_1583_1,native_feed,desktop,CA,0.0729,USD
evt_db7ad06b,impression,2026-06-01T09:29:59Z,2026-06-01T03:47:41Z,adv_1569,cmp_1569_3,interstitial,tablet,CA,0.0063,USD
evt_da7aced8,impression,2026-06-01T12:11:46Z,2026-06-01T09:35:23Z,adv_1548,cmp_1548_2,banner_300x250,desktop,CA,0.0021,USD
evt_dd7ad391,impression,2026-06-01T04:43:32Z,2026-06-01T11:42:47Z,adv_1576,cmp_1576_3,banner_728x90,ctv,AU,0.0187,USD
evt_dc7ad1fe,impression,2026-06-01T17:58:04Z,2026-06-01T04:00:16Z,adv_1576,cmp_1576_2,banner_728x90,ctv,IN,0.0162,INR
evt_d77aca1f,conversion,2026-06-01T12:51:05Z,2026-06-01T13:19:57Z,adv_1604,cmp_1604_1,preroll,mobile,,0.0000,INR
evt_d67ac88c,impression,2026-06-01T15:42:56Z,2026-06-01T04:47:43Z,adv_1611,cmp_1611_3,interstitial,desktop,IN,0.0093,USD
evt_d9788eae,impression,2026-06-01T08:10:44Z,2026-06-01T03:06:17Z,adv_1604,cmp_1604_1,native_feed,desktop,DE,0.0058,USD
evt_da789041,impression,2026-06-01T07:46:02Z,2026-06-01T09:40:26Z,adv_1548,cmp_1548_1,native_feed,desktop,DE,0.0135,USD
evt_d7788b88,click,2026-06-01T09:25:56Z,2026-06-01T09:26:59Z,adv_1548,cmp_1548_1,preroll,ctv,US,0.0182,USD
evt_d8788d1b,click,2026-06-01T19:02:54Z,2026-06-01T16:16:32Z,adv_1583,cmp_1583_3,banner_300x250,ctv,SG,0.6117,USD
evt_dd7894fa,impression,2026-06-01T16:33:39Z,2026-06-01T12:50:00Z,adv_1618,cmp_1618_2,banner_300x250,desktop,IN,0.0160,USD
evt_de78968d,impression,2026-06-01T22:18:02Z,2026-06-01T08:09:00Z,adv_1604,cmp_1604_1,interstitial,desktop,unknown,0.0051,USD
evt_db7891d4,impression,2026-06-01T07:13:03Z,2026-06-01T04:45:41Z,adv_1576,cmp_1576_2,native_feed,tablet,US,0.0014,USD
evt_dc789367,impression,2026-06-01T04:49:52Z,2026-06-01T06:37:47Z,adv_1569,cmp_1569_3,banner_728x90,desktop,US,0.0076,USD
evt_d1788216,impression,2026-06-01T13:59:15Z,2026-06-01T05:16:06Z,adv_1576,cmp_1576_2,banner_300x250,desktop,US,0.0100,USD
evt_d27883a9,impression,2026-06-01T21:32:04Z,2026-06-01T09:40:08Z,adv_1555,cmp_1555_3,banner_300x250,tablet,,0.0126,USD
evt_5b6c8f61,impression,2026-06-01T10:09:40Z,2026-06-01T01:10:17Z,adv_1611,cmp_1611_2,interstitial,desktop,IN,0.0129,USD
evt_5a6c8dce,impression,2026-06-01T15:06:42Z,2026-06-01T09:01:37Z,adv_1548,cmp_1548_2,interstitial,desktop,IN,0.0010,USD
evt_596c8c3b,impression,2026-06-01T11:55:56Z,2026-06-01T00:54:19Z,adv_1548,cmp_1548_3,interstitial,ctv,US,0.0059,USD
evt_586c8aa8,impression,2026-06-01T18:25:40Z,2026-06-01T19:46:42Z,adv_1555,cmp_1555_2,native_feed,desktop,,0.0190,USD
evt_5f6c95ad,impression,2026-06-01T16:49:38Z,2026-06-01T07:58:54Z,adv_1604,cmp_1604_2,interstitial,ctv,AU,0.0023,USD
evt_5e6c941a,impression,2026-06-01T05:32:46Z,2026-06-02T10:25:44Z,adv_1548,cmp_1548_3,banner_300x250,ctv,GB,0.0127,USD
evt_5d6c9287,impression,2026-06-01T21:52:58Z,2026-06-03T22:23:17Z,adv_1576,cmp_1576_3,banner_728x90,mobile,US,0.0043,USD
evt_5c6c90f4,impression,2026-06-01T14:29:18Z,2026-06-01T01:39:18Z,adv_1625,cmp_1625_1,native_feed,tablet,SG,0.0161,USD
evt_536c82c9,conversion,2026-06-01T14:35:51Z,2026-06-01T02:39:24Z,adv_1562,cmp_1562_3,banner_728x90,mobile,GB,0.0000,USD
evt_526c8136,impression,2026-06-01T13:01:23Z,2026-06-01T12:08:35Z,adv_1604,cmp_1604_3,preroll,tablet,US,0.0092,USD
evt_526c8136,impression,2026-06-01T13:01:23Z,2026-06-01T12:08:35Z,adv_1604,cmp_1604_3,preroll,tablet,US,0.0092,USD
evt_d5697dd8,impression,2026-06-01T13:25:21Z,2026-06-01T04:19:33Z,adv_1569,cmp_1569_2,banner_300x250,mobile,IN,0.0109,USD
evt_d6697f6b,impression,2026-06-01T17:44:50Z,2026-06-01T06:37:45Z,adv_1611,cmp_1611_3,preroll,tablet,GB,0.0088,USD
evt_d76980fe,impression,2026-06-01T09:58:44Z,2026-06-01T16:59:20Z,adv_1576,cmp_1576_2,interstitial,tablet,CA,0.0015,USD
evt_d8698291,impression,2026-06-01T01:17:54Z,2026-06-01T01:25:47Z,adv_1604,cmp_1604_3,preroll,desktop,,0.0076,INR
evt_d9698424,impression,2026-06-01T17:45:49Z,2026-06-01T01:24:01Z,adv_1604,cmp_1604_2,native_feed,desktop,CA,0.0186,USD
evt_da6985b7,click,2026-06-01T13:30:36Z,2026-06-01T09:27:51Z,adv_1576,cmp_1576_1,native_feed,tablet,CA,0.0903,USD
evt_db69874a,impression,2026-06-01T20:27:07Z,2026-06-02T21:54:03Z,adv_1562,cmp_1562_3,interstitial,tablet,SG,0.0002,USD
evt_db69874a,impression,2026-06-01T20:27:07Z,2026-06-02T21:54:03Z,adv_1562,cmp_1562_3,interstitial,tablet,SG,0.0002,USD
evt_dc6988dd,impression,2026-06-01T20:57:13Z,2026-06-01T20:58:59Z,adv_1604,cmp_1604_2,banner_300x250,mobile,unknown,0.0088,USD
evt_cd697140,impression,2026-06-01T04:00:57Z,2026-06-01T20:05:08Z,adv_1555,cmp_1555_2,native_feed,desktop,,0.0053,USD
evt_ce6972d3,impression,2026-06-01T11:21:11Z,2026-06-01T11:08:33Z,adv_1562,cmp_1562_2,native_feed,desktop,CA,0.0138,USD
evt_4770ed13,impression,2026-06-01T13:56:07Z,2026-06-01T08:21:57Z,adv_1576,cmp_1576_3,interstitial,mobile,DE,0.0072,USD
evt_4670eb80,impression,2026-06-01T18:03:35Z,2026-06-01T19:03:40Z,adv_1618,cmp_1618_1,native_feed,desktop,SG,0.0077,USD
evt_4970f039,impression,2026-06-01T01:01:40Z,2026-06-01T16:38:11Z,adv_1555,cmp_1555_2,banner_728x90,ctv,US,0.0196,USD
evt_4870eea6,impression,2026-06-01T11:23:09Z,2026-06-01T03:14:30Z,adv_1625,cmp_1625_1,preroll,tablet,DE,0.0056,USD
evt_4b70f35f,impression,2026-06-01T06:01:46Z,2026-06-01T19:34:25Z,adv_918,cmp_918_x,native_feed,mobile,unknown,0.0200,USD
evt_4a70f1cc,impression,N/A,2026-06-01T08:24:45Z,adv_1625,cmp_1625_2,interstitial,mobile,US,0.0167,USD
evt_4d70f685,impression,2026-06-01T07:57:52Z,2026-06-01T21:49:30Z,adv_1590,cmp_1590_2,interstitial,ctv,SG,0.0179,USD
evt_4c70f4f2,impression,2026-06-01T21:39:01Z,2026-06-01T10:12:52Z,adv_1548,cmp_1548_2,interstitial,desktop,SG,0.0120,USD
evt_4f70f9ab,impression,2026-06-01T16:23:57Z,2026-06-01T14:15:59Z,adv_1604,cmp_1604_3,interstitial,ctv,unknown,0.0105,USD
evt_4e70f818,impression,2026-06-01T17:45:45Z,2026-06-01T01:59:53Z,adv_1604,cmp_1604_1,interstitial,mobile,IN,0.0051,INR
evt_616ed76a,click,2026-06-01T04:00:44Z,2026-06-01T16:07:07Z,adv_1618,cmp_1618_2,interstitial,tablet,US,0.8398,USD
evt_626ed8fd,impression,2026-06-01T02:35:06Z,2026-06-01T06:37:06Z,adv_1569,cmp_1569_2,native_feed,desktop,CA,0.0012,USD
evt_5f6ed444,impression,2026-06-01T04:47:51Z,2026-06-01T13:20:14Z,adv_1597,cmp_1597_3,interstitial,tablet,CA,0.0174,USD
evt_606ed5d7,impression,2026-06-01T19:06:24Z,2026-06-01T12:18:49Z,adv_1548,cmp_1548_3,banner_300x250,mobile,,0.0023,USD
